Product name ,Product discription,Product link,product unit price (AUD),Product amount(AUD),Product application in project ,shipping cost 
ESP32 development board,"a powerful, low-cost, and highly integrated microcontroller widely used for Internet of Things (IoT) projects. It features built-in Wi-Fi and Bluetooth capabilities, a dual-core processor, and multiple GPIO pins for connecting sensors, motors, and displays.",https://www.aliexpress.com/item/1005008796158734.html?spm=a2g0o.productlist.main.18.7bf15c87EHImB1&algo_pvid=b087af5e-3a7d-452b-a621-ee8e9c90ab97&algo_exp_id=b087af5e-3a7d-452b-a621-ee8e9c90ab97-17&pdp_ext_f=%7B%22order%22%3A%225049%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2110.25%211.41%21%21%2149.03%216.73%21%402103126e17795359380716410e0ab2%2112000057788550372%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ab0702c27%3Bm03_new_user%3A-29895%3BpisId%3A5000000204867275&curPageLogUid=9erJq2oYgDF3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008796158734%7C_p_origin_prod%3A%5C,10.25,1,This micro controller connects to the servos touchboard and OLED screen. with the output pins  ,3.02
polymer Lithium Ion Battery (LiPo) 3.7V 1500mAh,"a thin, lightweight, and rechargeable power source commonly used in low-drain, portable electronics and microcontroller projects (like Adafruit Feathers). It provides a nominal 3.7V output and holds a capacity of 1500mAH, about 5.5 WHS ",https://www.aliexpress.com/item/1005008347608135.html?src=google,8.02,1,This battery powers all the electronics components in the robot it is hooked to the tp4056 battery charges and has a good compacity ,3.4
TP4056 Charging Module with Battery Protection,"a compact, dual-function electronic board designed for safely managing single-cell 3.7V lithium-ion or lithium-polymer batteries",https://www.aliexpress.com/item/1005005237080994.html?src=google&src=google&albch=shopping&acnt=742-864-1166&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005005237080994&ds_e_product_merchant_id=107789212&ds_e_product_country=AU&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=21819463808&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=21819486122&gbraid=0AAAAA99aYpdJVQZnExda9qWozWZ_VUsBO&gclid=Cj0KCQjw54nRBhDCARIsAMcY_SCblEZJYUMaJVVF0I9rTZLAvhE20dSvS7Oj0miBgOX3eB5xbfjfXpwaAoy4EALw_wcB,0.21,1,the charging moduole to charge the lithium battery,3.51
Capacitive Touch Sensor,"Capacitive touch sensors are advanced input devices that register touch by detecting changes in electrical capacitance caused by a conductive object, such as the human body",https://core-electronics.com.au/capacitive-touch-sensor-red.html,1.95,1,"This senser will the input part into the robot, and can trigger some fuctions output by the OLED and servos ",1.714
9g micro servo,"an extremely compact, lightweight, and affordable motor used in small-scale robotics, RC planes, and DIY electronics. Weighing only 9 grams, it typically provides up to 1.6 of torque and offers 180-degree rotation",https://core-electronics.com.au/feetech-fs90-1-5kgcm-micro-servo-9g.html,5.36,10,6 degrees of freedom given by these servos and the 5 legs 2 servos on each leg,1.714
jumperwires ,"10cm male-to-male jumper wires. Pre-terminated with an assortment of colors, these 30 AWG wires are perfect for prototyping and connecting between breadboards and female headers.",https://zaitronics.com.au/products/jumper-wire-10cm-male-to-male-40pcs?variant=49717475868964&country=AU&currency=AUD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoovOx2nwvBZ_N4ZISZ0lx2CCW3gV5JvisS_bKu_8IW93LIkcEnao4A,NA,Own at home,the jumper wires connect the diffrent electronics components,0
OLED ,"a compact, monochrome display widely used in DIY electronics and microcontrollers (like Arduino and Raspberry Pi Pico). It features a \(128 \times 64\) pixel resolution, delivers excellent contrast with true blacks, and uses I2C or SPI interfaces for easy integration",https://core-electronics.com.au/ssd1306-oled-white-pre-soldered.html?gad_source=1&gad_campaignid=17417005429&gbraid=0AAAAADlEpP5CRCdwAEtXYn-S7UEGa6eGz&gclid=Cj0KCQjw54nRBhDCARIsAMcY_SBEhuSITBYtbbYk30KwULqnI3z7nQE--BZi0LbUXerFKNNy1PZNnssaAuLuEALw_wcB%5C,6.7,1,"the OLED provides a output for expression and information, for exp tempreture , weather and googly eyes",1.714
AAA battery," a small, cylindrical, single-cell dry battery",https://www.officeworks.com.au/shop/officeworks/p/j-burrows-aa-batteries-8-pack-jbbty0aap8?cm_mmc=Google:SEM:Always_on:OW%7CAU+%7CTechnology%7CTechnology%7CNA%7CSEM%7CGoogle%7CPMax%7CNA-OFFTHE270725&s_kwcid=AL!12073!3!!!!x!!&gclsrc=aw.ds&gad_source=1&gad_campaignid=19856019778&gbraid=0AAAAAD1FgQYjQm5B49_IA4c6v44mF8nXP&gclid=Cj0KCQjw54nRBhDCARIsAMcY_SCLpBaykKd9pp7tkkKy0yYhnPbbmG9fkjJyUzpQvXWeOVUyi-LxTVUaAiuHEALw_wcB,3,need 4 but sells in budles of 8,used to power servos sit in battery box ,0
 Toggle Switch 3Pins Straight Feet Handle ,"High 5mm Spacing: Ensures stable and secure PCB mounting for reliable performance.3-Pin Configuration: Simplifies wiring and enhances compatibility with common circuit layouts.3A 250V Rating: Provides safe and efficient power control for various electronic devices.SS12D10/SS12D06 Model: Standardized toggle switches suitable for a wide range of applications.Straight Feet Handle Design: Offers easy installation and improved accessibility on circuit boards.
",https://www.aliexpress.com/item/1005009993277549.html?src=google&src=google&albch=shopping&acnt=742-864-1166&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005009993277549&ds_e_product_merchant_id=5680627488&ds_e_product_country=AU&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=21819463808&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=21819486122&gbraid=0AAAAA99aYpdJVQZnExda9qWozWZ_VUsBO&gclid=Cj0KCQjw54nRBhDCARIsAMcY_SDnRxVkD3tknO7zmIMsAw-Uy2THEQihBolo76jV5_hfWmZ5XY9UAoMaAmvIEALw_wcB,1.9,1 needed but sells in bundels of 10,This is so the battery isnt running all the time and also acts as a saftey feature ,3.72
DHT 22,"The DHT22 is a basic, low-cost digital temperature and humidity sensor. It uses a capacitive humidity sensor and a thermistor to measure the surrounding air and spits out a digital signal on the data pin (no analog input pins needed).",https://www.aliexpress.com/item/1005010283810231.html?src=google&src=google&albch=shopping&acnt=742-864-1166&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005010283810231&ds_e_product_merchant_id=5323544071&ds_e_product_country=AU&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=21819463808&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=21819486122&gbraid=0AAAAA99aYpdJVQZnExda9qWozWZ_VUsBO&gclid=Cj0KCQjw54nRBhDCARIsAMcY_SAAgjUHfpmqRVvkPTRE1GiDSEo0vCuxKoKmmB0HaJBIV8HouAm1m80aAq5kEALw_wcB%5C,4.61,1,"To measure the tempreutre and humidity of where it is, do this so that it can start to give warning or tips to open the windows or turn of airconditioner ",1.37
10k resistor,"a standard, general-purpose component used in digital electronics to ensure an input pin maintains a stable voltage (HIGH) when no other signal is active",https://www.jaycar.com.au/10k-ohm-0-5-watt-metal-film-resistors-pack-of-8/p/RR0596?srsltid=AfmBOopwvH0rk4Bp6luRRLPkuisEpIXUGM-ITtOElVoW2rc4ZdfZCT0G,2.75,4 needed but sold in packs of 20,use in robot to stablise voltage and signal on DHT 22 and OLED ,1.714
battery box 4*AA,an enclosed plastic container designed to hold four AAA batteries in a series configuration,https://core-electronics.com.au/4-aaa-battery-holder.html,4.25,1,Powers 10 servos ,1.714
